,chart
313, Ram Tej: I love you bro
314, pooja07: Ooh
315, Ram Tej: Boooo
316, pooja07: Bro ah
317, pooja07: silentsilentsilent
318, Ram Tej: Bo it came bro
319, pooja07: cry
320, pooja07: crycrywaaaa
321, Ram Tej: What to do auto correct
322, pooja07: lol
323,Ram Tej: Bo
324,Ram Tej: What are u doing
325,Ram Tej: I am on my bed
326,pooja07: Today is krishnajanmashtami
327,pooja07: So mom is still working on puja
328,Ram Tej: No
329,Ram Tej: I feel so. Lonly booooo
330,pooja07: Call me
331,pooja07: Jakku
332,pooja07: Missed voice call
333,Ram Tej: Bo
334,Ram Tej: No
335,pooja07: Boo
336,pooja07: Ok
337,"pooja07: Ur wish ,"
338,Ram Tej: I am so sad
339,pooja07: Why boo
340,pooja07: Wanna play pubg?
341,Ram Tej: No
342,pooja07: Why
343,pooja07: Do you wanna build a snowman???
344,Ram Tej: No
345,Ram Tej: I am sad
346,pooja07: media
347,Ram Tej: Bo I will call u wait
348,pooja07: awawawaw
349,pooja07: Whyyyy
350,pooja07: Hi
351,Ram Tej: Bo
352,Ram Tej: Boooooo should I tell u some thing
353,Ram Tej: I still did not sleep
354,Ram Tej: I was awake only
355,Ram Tej: My feeling of sad is gone but
356,Ram Tej: I am good now just took bath and will try sleeping now
357,Ram Tej: Watched 2 movies
358,Ram Tej: All alone
359,pooja07: I love you
360,pooja07: You be happy
361,pooja07: That is enough for me
362,pooja07: I was just thinking about you
363,Ram Tej: Booooo
364,pooja07: Hi
365,pooja07: Sup
366,pooja07: Ate?
367, pooja07: U wont reply.to me? Are u gonna keep avoiding me forever?
368, pooja07: Missed voice call
369, pooja07: Ram?
370, Ram Tej: Booooo
371, pooja07: Who r u talking to
372, Ram Tej: I was talking to eachother
373, pooja07: Your phone is always busy
374, Ram Tej: Rachith
375, Ram Tej: He is always at fualzaab
376, Ram Tej: To get some thing to eat
377, pooja07: Always u will talk to one of.your guy frnds
378, pooja07: Oh
379, pooja07: Can I ask you something
380, pooja07: You never feel like calling and talking to me?
381, pooja07: Reply and go
382, pooja07: Hello?
383, Ram Tej: I am here only
384, Ram Tej: Not doing any thing
385, Ram Tej: Looking at your chat
386, Ram Tej: I have to walk to fualzaab
387, Ram Tej: I did not eat
388, pooja07: Yeah
389, pooja07: U have to do everything
390, Ram Tej: I am walking
391, pooja07: Only when I talk to u
392, pooja07: Only when I feel like talking to u
393, Ram Tej: I did not sleep
394, pooja07: Answer
395, pooja07: I won't disturb you
396, Ram Tej: And I did not eat
397, Ram Tej: Rey
398, Ram Tej: I am alone in my room
399, Ram Tej: I don't feel like talking to any one
400, pooja07: Everything you r doing to yourself
401, Ram Tej: I will get food
402, pooja07: This so what u always say
403, pooja07: But your always with your frnds
404, pooja07: Fine
405, pooja07: Keep ignoring me
406," pooja07: Just because once in a lifetime you feel like talking to me doesn't mean u love me, u know what I don't feel like talking to anyone too, but your the only one I give attention to, screw it."
407," pooja07: Morning I thought finally he is gonna spend time with me, bullshit, u live and die with your frnds , enjoy life like u said, I'll enjoy mine."
408, Ram Tej: Rey
409, Ram Tej: Bye
410, Ram Tej: I am feeling bad
411, Ram Tej: And I don't need these big msgs
412, Ram Tej: I am not in a mood to read
413, Ram Tej: I am not eating
414, Ram Tej: I am sleeping
415, Ram Tej: I won't go
416, pooja07: Do whatever you want
417, pooja07: Once u can't pick n talk to me?
418, Ram Tej: Tell
419, Ram Tej: What
420, pooja07: I want to talk
421, pooja07: It always can't be your wish.
422, Ram Tej: I am so fucked up
423, pooja07: It's my life too.
424, Ram Tej: Did I tell u
425," pooja07: My love too,my relationship too"
426, Ram Tej: I called my dad and cryed in the afternoon
427, pooja07: Yeah
428, Ram Tej: I will eat some thing
429, Ram Tej: Bo
430, Ram Tej: I can't
431, Ram Tej: My stomach is paining
432, pooja07: My heart is paininglollol
433," pooja07: Ok fine, your wish, your life, good night"
434, Ram Tej: Boooo
435, Ram Tej: I am not funny
436, pooja07: Funny?
437, pooja07: Missed voice call
438, pooja07: I just wanted to hear your voice.
439, pooja07: And you r talking to someone else.
440, Ram Tej: I miss u booooookiss
441, pooja07: Boo
442, pooja07: I don't feel like sleeping without you
443,pooja07: Good morning
444,pooja07: U didn't sleep?
445,Ram Tej: Good morning
446,Ram Tej: I was successful
447,Ram Tej: I just got up bo
448,"pooja07: I love you, wish me luckupsiddown"
449, Ram Tej: No
450, Ram Tej: Boooooo
451, Ram Tej: All the best
452, Ram Tej: heart
453, Ram Tej: kiss
454,pooja07: Hii
455,Ram Tej: Where are you boo did you eat
456,pooja07: Ktr boo
457,Ram Tej: Nice did u finish your exam bo
458,pooja07: Coding went bad
459,"pooja07: It's ok, I'm improving, I love you"
460,Ram Tej: Nice
461,Ram Tej: I like this possitive attitude
462,Ram Tej: Boooooo
463,Ram Tej: kiss
464,Ram Tej: heart
465,pooja07: I'm solving sums and all
466,pooja07: I was happylol
467,pooja07: I'll.give u treat
468,Ram Tej: Ok
469,Ram Tej: Done
470,pooja07: Where is my trea
471,pooja07: *treat
472,Ram Tej: Me getting a treet yaaaww
473,pooja07: For me.
474,pooja07: ???
475,Ram Tej: Come of
476,Ram Tej: Tonight
477,pooja07: heartlol
478,pooja07: media
479,Ram Tej: Me to give me toooo
480,Ram Tej: Lol bo
481,Ram Tej: kiss
482,pooja07: lolheart
483,Ram Tej: Back home bo
484,pooja07: Yes
485,pooja07: Boo
486,pooja07: My booheartheart
487,pooja07: I need to talk to you boo
488,pooja07: Missed voice call
489,pooja07: Urgent!
490,pooja07: Missed voice call
491, pooja07: Missed voice call
492, pooja07: Who are u talking to?!
493," pooja07: Ram?!, Who the hell r u talking to everyday!"
494, pooja07: Good night.
495," pooja07: I don't know what you're spying at, but ur worsening the way I feel."
496, Ram Tej: Try
497, Ram Tej: Rey
498, Ram Tej: I slept and just woke up
499, Ram Tej: Slept around 8
500, Ram Tej: And just got up
501, pooja07: Your phone was busy
502, pooja07: Till now
503, Ram Tej: media
504, Ram Tej: media
505, Ram Tej: media
506, pooja07: It was busy
507, pooja07: I'm lying uh?
508, pooja07: U deleted
509, pooja07: silent
510, Ram Tej: May be some one was calling all same time
511, pooja07: How will it disappear
512, Ram Tej: May be
513, pooja07: No
514, pooja07: Ur phone was ringing
515, pooja07: What's app was busy
516, pooja07: Ok
517, Ram Tej: Boo
518, pooja07: Whom r u texting
519, Ram Tej: No one
520, Ram Tej: Looking at
521, Ram Tej: You tests
522, Ram Tej: That's why when u
523, Ram Tej: Type blue tick will come fast
524, pooja07: what
525, pooja07: Ur phone. Was busy
526, Ram Tej: No
527, pooja07: There is no call log of that time
528, pooja07: Fine leave
529, pooja07: I don't want to fight
530," pooja07: If u wanna tell , u will"
531, pooja07: Or else it's ok
532, Ram Tej: I am not leaving
533, pooja07: Hope ur day went well
534, Ram Tej: I will call u baby
535, Ram Tej: I don't want to fight to baby
536, pooja07: When? After I die?
537, pooja07: You r always only busy for me
538, pooja07: Missed voice call
539, pooja07: Even now you r not picking na jakka?
540," pooja07: Fine, good night."
541, Ram Tej: Bo
542,pooja07: Good morning baby
543,pooja07: media
544,pooja07: Missed voice call
545,pooja07: Booi booi wake up
546,pooja07: Missed voice call
547, pooja07: Ei
548, pooja07: Wwaaakkeeee uppppppp
549,Ram Tej: Booooo
550,pooja07: upsiddown
551,Ram Tej: Hi bo
552,Ram Tej: Me only
553,Ram Tej: Yaaaaaa
554,Ram Tej: What is bo doing
555,pooja07: Hi
556,pooja07: What t r u doing
557, Ram Tej: Booo
558, Ram Tej: Can I call you
559, pooja07: Two mins.
560, pooja07: I'm talking to Vish about record.
561, Ram Tej: media
562, Ram Tej: To sleep baby
563, Ram Tej: Need to be focused and have to change
564, pooja07: I know
565, pooja07: It's a good thing
566, pooja07: I'm proud of you
567, pooja07: heartheartheartheart
568, Ram Tej: Thanks boo
569, Ram Tej: kiss
570, pooja07: No matter what happens
571, pooja07: I'll be there for you
572, pooja07: To support you.
573, Ram Tej: I am trying help ok
574, Ram Tej: kiss
575, Ram Tej: heart
576, pooja07: stareyesstareyesstareyesstareyesthe love of my life
577, pooja07: heartheartheartheartheartheart
578, Ram Tej: Ok
579, Ram Tej: Talk
580, pooja07: Boo
581, pooja07: I love you
582," pooja07: I don't care what happens, who tells what, u matter the most to me, and I will help u get rid of the things u don't need"
583, Ram Tej: Thanks bo
584," pooja07: I can't stay without you, and I can't stay away, cause I love you"
585, pooja07: You're my druglove
586, Ram Tej: Boooo
587, Ram Tej: Should I tell us some thing
588, Ram Tej: Thanks u so much
589, pooja07: Yes
590, pooja07: Why
591, Ram Tej: Thank
592, pooja07: Why
593, Ram Tej: For being the one for me
594, Ram Tej: I Love you
595, pooja07: silentsilent
596, pooja07: I love you too booooooooooooo
597, pooja07: heart
598, Ram Tej: Bo done
599, Ram Tej: Can I calll
600, Ram Tej: How long
601, Ram Tej: Hello
602, Ram Tej: Are u going to call or not
603,pooja07: Book
604,pooja07: Good morning
605,pooja07: Missed voice call
606,pooja07: Missed voice call
607, Ram Tej: No
608, Ram Tej: Boooo
609, Ram Tej: Good morning
610, Ram Tej: I got up and came to clg todayyyyyythumsup
611, pooja07: heartheartheart
612,Ram Tej: media
613,pooja07: heartkisskiss
614,pooja07: Boooi booi
615,pooja07: I'm bored
616,pooja07: media
617,Ram Tej: Booooo
618,Ram Tej: Boooo
619,Ram Tej: So cute boooo
620,Ram Tej: Baby
621,Ram Tej: Reached home baby
622,Ram Tej: Where are you
623,pooja07: Long back boo
624,pooja07: Booo
625,pooja07: Booi booi
626,Ram Tej: Then why no text
627,pooja07: Cause I thought u would be busy
628,pooja07: Is my boo free?
629,pooja07: Boo
630, pooja07: Missed voice call
631, pooja07: Missed voice call
632, pooja07: Missed voice call
633, pooja07: Boo
634, pooja07: I'm tired
635, pooja07: Missed voice call
636, pooja07: Missed voice call
637, pooja07: Boo
638, pooja07: I'm going to sleep
639," pooja07: I love you, I'm.going to sleep"
640," pooja07: Good night, take care, I love you so much."
641, pooja07: Missed voice call
642, Ram Tej: Reddy
643, Ram Tej: Reyyy
644, Ram Tej: Rey
645, Ram Tej: I taught my internet was
646, Ram Tej: I was watching turbo channwl
647, Ram Tej: Siery
648, Ram Tej: Boooo
649, Ram Tej: Pickkkk
650, pooja07: Good night
651,"pooja07: U didn't even reply me back na, amazing thank you so much for your love ram"
652,Ram Tej: Baby
653,Ram Tej: Good morning and I am in class
654,Ram Tej: Rey I slept after that baby
655,Ram Tej: Warden came last night stating some one called him and told some one is not well in 215 my room and my warden got sacred and he got ambulance and docter
656,Ram Tej: That what happens
657,Ram Tej: Sorry boo
658,Ram Tej: I am in class
659,Ram Tej: media
660, pooja07: media
661, Ram Tej: Yaaaaa
662, Ram Tej: Come let's build baby
663, pooja07: annoyedannoyedannoyedannoyedannoyed
664, Ram Tej: kiss
665, pooja07: Go
666, Ram Tej: thumsup
667, pooja07: O
668, pooja07: *go
669, pooja07: Don't talk
670, Ram Tej: Why
671, pooja07: Go
672, Ram Tej: I am texting from class
673, pooja07: Bee too
674, pooja07: heartheartheartheartheart
675, pooja07: U didn't text me last night
676, pooja07: I felt Soo baaaaaaddddd
677, pooja07: Dotn bunk anymore
678, pooja07: U don't have attendance
679, Ram Tej: Ya
680, Ram Tej: I am not
681, Ram Tej: I am in class
682, Ram Tej: media
683, pooja07: I love you
684, pooja07: But don't talk
685, pooja07: annoyed
686, Ram Tej: Try
687, Ram Tej: Rey
688, Ram Tej: I love you
689, Ram Tej: kisskisskisskiss
690, pooja07: annoyed
691,pooja07: Hi
692,pooja07: Jakka
693,pooja07: Jakka
694,pooja07: JKak
695,pooja07: JKKznncfkw
696,pooja07: Xncksohxcjdk
697,Ram Tej: Hi
698,Ram Tej: Bo I am playing pubg
699,pooja07: Ok
700,Ram Tej: What ok
701,Ram Tej: I am playing pokimon go
702,Ram Tej: U also install
703,Ram Tej: It got upgraded v
704,Ram Tej: So much
705,Ram Tej: Now we can trade gift pokimons
706,Ram Tej: It is nice
707,Ram Tej: All my friends are playing
708,pooja07: lollollollol
709,pooja07: New addiction
710,Ram Tej: Rey
711,Ram Tej: Go
712,Ram Tej: I am a good boy
713,Ram Tej: happyhappy
714,pooja07: Call me
715,pooja07: Missed voice call
716,Ram Tej: Hello
717,pooja07: Boo
718,pooja07: Hi
719,pooja07: Telp
720,pooja07: media
721,Ram Tej: Niceeee
722,Ram Tej: kiss
723,pooja07: media
724,pooja07: My room boo
725, pooja07: Oye
726, pooja07: Ram
727, pooja07: U won't even text me back?
728," pooja07: Ur always calling me late, I can't stay up late, u know that."
729, pooja07: Ok good night
730, Ram Tej: media
731, pooja07: Boo
732, pooja07: Ok
733, pooja07: Text
734, pooja07: My net is bad
735, pooja07: Like super bad
736, Ram Tej: Ok
737, pooja07: I love you boo
738, Ram Tej: U want to sleep so fast
739, pooja07: U didn't tell anything
740, Ram Tej: Ok
741, pooja07: No
742, pooja07: No current at home
743, Ram Tej: Ya
744, Ram Tej: I asked u did not tell
745, Ram Tej: Now u are telling
746, Ram Tej: And it looks dam good
747, Ram Tej: kiss
748, Ram Tej: thumsup
749, Ram Tej: clap
750, pooja07: annoyedannoyed
751, pooja07: Yeah
752, pooja07: We all fixed those fairy lights at home
753, Ram Tej: smartstareyes
754, Ram Tej: Niceeeee
755, pooja07: I love you booo
756, Ram Tej: It so cool
757, Ram Tej: kiss
758, pooja07: I love you so much
759, pooja07: heart
760, Ram Tej: Be careful with those lights
761, Ram Tej: Ok
762, Ram Tej: I love you
763, pooja07: What
764, pooja07: silent
765, Ram Tej: Soooooooooo much
766, pooja07: Why
767, Ram Tej: Like current thing na
768, pooja07: lovelovelovelove
769, Ram Tej: That's why
770, pooja07: I love you
771, pooja07: loveloveloveheart
772, Ram Tej: I love u to booooo
773, pooja07: Kiss me
774, pooja07: Hug me
775, Ram Tej: lovelovelovelovelovekisskisskisskisskisskiss
776, pooja07: Tell me u love me
777, Ram Tej: heart
778, Ram Tej: heart
779, Ram Tej: heart
780, Ram Tej: heart
781, Ram Tej: heart
782, Ram Tej: heart
783, Ram Tej: heart
784, Ram Tej: heart
785, Ram Tej: heart
786, Ram Tej: heart
787, Ram Tej: heart
788, Ram Tej: heart
789, Ram Tej: heart
790, Ram Tej: heart
791, Ram Tej: heartheartheart
792, Ram Tej: heartheart
793, Ram Tej: heart
794, pooja07: loveloveloveloveheart
795, Ram Tej: heart
796, Ram Tej: heartheart
797, Ram Tej: heartheartheart
798, Ram Tej: heart
799, Ram Tej: heart
800, Ram Tej: heart
801, Ram Tej: heartheartheart
802, Ram Tej: heart
