,chart
23217,pooja07: Jakku beeeeeeeeeee
23218,pooja07: Waaaaaaaaaannnnnnnn
23219,Ram Tej: Hi
23220, Ram Tej: Booooo
23221, Ram Tej: Boooooo
23222, Ram Tej: Boooo
23223, Ram Tej: Today is arindhum birthday
23224, pooja07: 
23225, pooja07: Oh
23226, Ram Tej: I will call u in 20 min
23227, pooja07: Ok
23228, Ram Tej: Ok
23229, pooja07: smile
23230, Ram Tej: kisskisskisskisskisskisskiss
23231, pooja07: heart
23232, Ram Tej: Watch suits
23233, pooja07: Lol
23234, Ram Tej: I started today
23235, pooja07: Ok
23236, pooja07: smile
23237, pooja07: Boo
23238, pooja07: My baby boo
23239, pooja07: Where r u
23240, pooja07: heartheartheartheart
23241, Ram Tej: Can I smoke today
23242, Ram Tej: Plez
23243, Ram Tej: Today is his birthday plez
23244, Ram Tej: Party
23245, Ram Tej: Pleaz
23246,pooja07: aaawwwaaa
23247,pooja07: I was waiting fir u
23248,pooja07: To call me
23249,pooja07: Come on! O waited for such a long time just to talk to u
23250,Ram Tej: I will call u
23251,Ram Tej: Give me 30 min
23252,Ram Tej: Boooo
23253,Ram Tej: Sleep
23254,Ram Tej: I will call
23255,"pooja07: Boo, send the money by today, I need to go out with parents."
23256,pooja07: annoyed
23257,pooja07: Hi
23258,pooja07: Blue ticker
23259,Ram Tej: Oo9ooey
23260,Ram Tej: U are out
23261,Ram Tej: I am pooping
23262,pooja07: I'm in
23263,Ram Tej: 
23264,pooja07: 
23265,pooja07: Me too
23266,pooja07: High five
23267,Ram Tej: Pooping a
23268,pooja07: 
23269,pooja07: Yeah
23270,pooja07: I love you
23271,pooja07: Ok rey
23272,pooja07: Blue tick this also
23273,Ram Tej: I love you too
23274,pooja07: This message was deleted
23275,pooja07: This message was deleted
23276,pooja07: This message was deleted
23277,pooja07: This message was deleted
23278,pooja07: This message was deleted
23279,pooja07: This message was deleted
23280,pooja07: This message was deleted
23281,pooja07: This message was deleted
23282,pooja07: This message was deleted
23283,pooja07: This message was deleted
23284,pooja07: Missed voice call
23285,pooja07: This message was deleted
23286,pooja07: This message was deleted
23287,pooja07: This message was deleted
23288,pooja07: This message was deleted
23289,pooja07: Missed voice call
23290,pooja07: This message was deleted
23291,pooja07: This message was deleted
23292,pooja07: This message was deleted
23293,pooja07: Missed voice call
23294,pooja07: Missed voice call
23295,pooja07: Missed voice call
23296,pooja07: This message was deleted
23297,pooja07: Missed voice call
23298,pooja07: This message was deleted
23299,pooja07: Missed voice call
23300,pooja07: This message was deleted
23301,"pooja07: I don't want to talk to you, bye."
23302,pooja07: Howcome whenever I call ur phone is busy
23303,pooja07: What kind of stupid excuse do u have now?
23304,Ram Tej: media
23305,Ram Tej: Can I post this
23306,pooja07: Don't blue tick atleast reply
23307,"pooja07: Umm, no cause ppl in India are judgemental"
23308,Ram Tej: Ok
23309,pooja07: Why aren't u picking?
23310,pooja07: annoyedram
23311,pooja07: Can u please pickannoyed
23312,pooja07: Post the other picture
23313,pooja07: Rey pick the call
23314,Ram Tej: media
23315,pooja07: Why aren't u picking
23316,Ram Tej: Can I post this
23317,pooja07: media
23318,pooja07: Post this
23319,Ram Tej: Ok
23320,pooja07: crypick my call
23321,Ram Tej: Check instagram
23322,pooja07: This one was better
23323,pooja07: PICK MY CALL
23324,pooja07: Why are u not picking
23325,pooja07: annoyedwhy r u cutting my call
23326,pooja07: U high??
23327,pooja07: Fine be highannoyedgood night
23328,pooja07: crycrycrycrycrycrycrycry
23329,pooja07: Already reply something
23330,pooja07: media
23331,pooja07: media
23332,pooja07: media
23333," pooja07: Babe, I'm gonna sleep,"
23334, pooja07: cry don't blue tick me atleast say good night
23335, pooja07: Missed voice call
23336,Ram Tej: Good night
23337,Ram Tej: I love you boooooo
23338,Ram Tej: Hello
23339,Ram Tej: Hi
23340,Ram Tej: Mad at me a
23341,Ram Tej: Nock nock
23342,Ram Tej: U have a hi message
23343,Ram Tej: And love
23344,Ram Tej: Take it it is free for u
23345,Ram Tej: kisskisskisskisskisskisskiss
23346,Ram Tej: Some kisses are complementry
23347,Ram Tej: Are u in office
23348,pooja07: No
23349,"pooja07: U are very busy, so I thought not to disturb you."
23350,Ram Tej: Ok
23351,pooja07: annoyedannoyedannoyedannoyedannoyed
23352,pooja07: I'm very mad at u
23353,pooja07: Like super mad
23354,Ram Tej: U said your shift changed
23355,Ram Tej: Why
23356,Ram Tej: Last night a
23357,pooja07: From tomorrow
23358,Ram Tej: Oooooo
23359,pooja07: aaawwwaaa
23360,Ram Tej: So today holiday a
23361,pooja07: No
23362,Ram Tej: Ok
23363,pooja07: I just came back
23364,Ram Tej: Nice
23365,Ram Tej: I love you
23366,Ram Tej: Hi
23367,pooja07: media
23368,pooja07: Ur so badcry
23369,Ram Tej: Noooo
23370,pooja07: Love me more
23371,pooja07: cry
23372,Ram Tej: I love you
23373,Ram Tej: kisskisskisskisskiss
23374,Ram Tej: Check you Instagram
23375,pooja07: I checked
23376,pooja07: That's why I'm texting
23377,pooja07: 
23378,Ram Tej: Thanks
23379,pooja07: annoyed
23380,pooja07: 
23381,Ram Tej: Noooo
23382,Ram Tej: mad
23383,pooja07: 
23384,pooja07: I need more attention
23385,pooja07: media
23386,Ram Tej: media
23387,pooja07: Arey are all Delhi ppl like Rohan??
23388,pooja07: Today everyone next to me got angry on him
23389,Ram Tej: What happened
23390,pooja07: U call me
23391,pooja07: I'll tell
23392,pooja07: what
23393,pooja07: Jakku bee
23394,pooja07: They put me as a backend developer
23395,Ram Tej: O no
23396,Ram Tej: Backend seriously
23397,Ram Tej: Nice
23398,pooja07: Yeah
23399,pooja07: cry
23400,pooja07: I thought I'll get frontend
23401,pooja07: I was so good at it
23402,Ram Tej: Studied CSE and doing coding for a living funny
23403,Ram Tej: media
23404,Ram Tej: media
23405,Ram Tej: media
23406,Ram Tej: media
23407,Ram Tej: media
23408,Ram Tej: media
23409,pooja07: Ayo
23410,pooja07: media
23411,pooja07: Look at beeee
23412,pooja07: Jakku bee
23413,pooja07: heartheart
23414,Ram Tej: What is this
23415,Ram Tej: I can't open it
23416,Ram Tej: Send a screen shot
23417,pooja07: media
23418,Ram Tej: So cute
23419,Ram Tej: media
23420,Ram Tej: media
23421,pooja07: kiss
23422,pooja07: The guy behind the yellow shawl is rohan
23423,Ram Tej: Ok looks creepy already
23424,pooja07: hahahaha
23425,pooja07: Jakku bee
23426,pooja07: Baby
23427,pooja07: Boooobby
23428,pooja07: Booo
23429,pooja07: 
23430,pooja07: Booby
23431,pooja07: Lol
23432, pooja07: Hey
23433, pooja07: U there
23434, pooja07: U stupid blue ticker
23435, Ram Tej: Eating
23436, pooja07: annoyedblue ticking
23437, pooja07: Fine call me.aoon
23438, pooja07: I'm super sleepy
23439, Ram Tej: Ok
23440, pooja07: Missed voice call
23441," pooja07: Text me when ur back, don't be a dick. My eyes r closing off"
23442, Ram Tej: media
23443, Ram Tej: Tmro is last date
23444,pooja07: All the best
23445,pooja07: Do well
23446, pooja07: I'm going to office
23447,Ram Tej: Booooo
23448,Ram Tej: Booooo
23449,Ram Tej: I love you
23450,Ram Tej: Soooo much
23451,Ram Tej: media
23452,pooja07: heart
23453,pooja07: It's 4 and I'm in office
23454,pooja07: cry
23455,Ram Tej: Lol
23456,Ram Tej: I will go to my friend flat
23457,Ram Tej: Today
23458,Ram Tej: Mostly bro
23459,pooja07: Bro????
23460,pooja07: !!!!bro???!!!
23461,pooja07: 
23462,pooja07: 
23463,pooja07: How
23464,pooja07: Ca
23465,pooja07: N
23466,pooja07: You
23467,pooja07: Bro
23468,pooja07: Me
23469,pooja07: ?
23470,pooja07: ?????
23471,pooja07: ???????
23472,pooja07: ?????????
23473,pooja07: Were you going to type
23474,pooja07: Boo?
23475,pooja07: But o and r are far away from each other
23476,pooja07: In the keyboard
23477,pooja07: mad
23478,Ram Tej: Ok
23479,Ram Tej: Chill
23480,pooja07: crylove me
23481,Ram Tej: Download call of duty today it cameout
23482,pooja07: Huh
23483,"pooja07: annoyedjakka ram tej, fucking call me tonight or else u will die in my handsannoyed"
23484,pooja07: Jakka ram tej
23485,pooja07: Rohan alertannoyed
23486,pooja07: Fucking pick
23487,pooja07: Missed voice call
23488,pooja07: Ur talking to someone else
23489,pooja07: Wtf
23490,Ram Tej: U are so mad at me
23491,Ram Tej: A for what
23492,pooja07: Yway
23493,pooja07: He is laughing at me
23494,Ram Tej: I was playing
23495,pooja07: That's the last thing I want
23496,Ram Tej: Bye
23497,Ram Tej: Even I don't care
23498,pooja07: All I wanted was to show that I have a boyfriend
23499,pooja07: U stay away from me
23500,Ram Tej: So what if he laughed
23501,Ram Tej: Do u care
23502,pooja07: That was the message
23503,Ram Tej: J don't
23504,pooja07: Don't shout at me
23505,Ram Tej: Ask hime to fuck of
23506,Ram Tej: Why should I pick the call
23507,pooja07: Everyone are talking to their boyfriend
23508,Ram Tej: J am strong that u Wong cheat
23509,pooja07: And girlfriend
23510,Ram Tej: Fucking I won't call u
23511,pooja07: Only I'm sitting like as if I'm single
23512,Ram Tej: I don't have to prove my live to anyone
23513,Ram Tej: U think u are
23514,Ram Tej: I am not
23515,pooja07: DONT CALL
23516,pooja07: Bye
23517,Ram Tej: Bye
23518,pooja07: annoyed
23519,pooja07: U think I think that I'm single
23520,pooja07: Wtf
23521,pooja07: U go
23522,pooja07: Telling bye always
23523,Ram Tej: U shout
23524,Ram Tej: For shit reasons
23525,pooja07: This message was deleted
23526,pooja07: This message was deleted
23527,pooja07: This message was deleted
23528,pooja07: This message was deleted
23529,Ram Tej: media
23530,Ram Tej: Look
23531,pooja07: Don't sende screenshots
23532,pooja07: It's not like I don't trust you.
23533,pooja07: I trust you okay
23534,pooja07: Ram
23535,pooja07: I love you
23536,pooja07: heart
23537,pooja07: Booo
23538,Ram Tej: media
23539,Ram Tej: media
23540,pooja07: On shit
23541,pooja07: Oh*
23542,pooja07: I'll call you at 9:45
23543,pooja07: Pick up that time.
23544, Ram Tej: I love you
23545, Ram Tej: I love u a lot
23546, Ram Tej: I love you
23547, Ram Tej: I love you
23548, Ram Tej: I love you
23549, Ram Tej: I love you
23550, Ram Tej: I love you
23551, Ram Tej: I love you
23552, Ram Tej: I love you
23553, Ram Tej: I miss u rey
23554, Ram Tej: U mad fello
23555, Ram Tej: Jakku be
23556, Ram Tej: U are my love reykisskisskisskisskiss
23557, Ram Tej: kiss
23558, Ram Tej: kiss
23559, Ram Tej: kisskisskisskiss
23560, Ram Tej: kisskiss
23561, Ram Tej: kisskiss
23562, Ram Tej: kiss
23563, Ram Tej: kiss
23564, Ram Tej: kisskiss
23565, Ram Tej: kiss
23566, Ram Tej: kisskisskiss
23567, Ram Tej: kiss
23568, Ram Tej: kisskiss
23569, Ram Tej: kisskisskiss
23570, Ram Tej: kisskiss
23571, Ram Tej: kiss
23572, Ram Tej: kisskiss
23573, Ram Tej: kisskisskiss
23574, Ram Tej: kisskisskiss
23575, Ram Tej: kisskiss
23576, Ram Tej: kisskisskiss
23577, Ram Tej: kiss
23578, Ram Tej: kisskiss
23579, Ram Tej: kiss
23580, Ram Tej: kiss
23581, Ram Tej: kisskisskiss
23582, Ram Tej: kisskiss
23583, Ram Tej: kiss
23584, Ram Tej: kisskisskiss
23585, Ram Tej: kisskiss
23586, Ram Tej: kisskisskiss
23587, Ram Tej: kisskiss
23588, Ram Tej: kisskisskiss
23589, Ram Tej: kiss
23590, Ram Tej: kiss
23591, Ram Tej: kiss
23592, Ram Tej: kisskiss
23593, Ram Tej: kiss
23594, Ram Tej: kisskiss
23595, Ram Tej: kisskisskiss
23596, Ram Tej: kisskiss
23597, Ram Tej: kiss
23598, Ram Tej: kisskisskiss
23599, Ram Tej: kisskisskiss
23600, Ram Tej: I miss u bo
23601, Ram Tej: I miss all of ui
23602, Ram Tej: I love you
23603,Ram Tej: No reply
23604,Ram Tej: .?
23605,pooja07: Hi
23606," pooja07: Ram, if you don't mind, call me when you have time."
23607,Ram Tej: ok
23608,Ram Tej: i love you
23609,Ram Tej: gm
23610,"pooja07: annoyedjakka ram tej, stfu and call"
23611,Ram Tej: Can't talk now. Call me later?
23612,pooja07: How come u always cant talk to me
23613,pooja07: This is why I faught yesterday
23614,pooja07: And u were like without any reason I'm fighting
23615,pooja07: Missed voice call
23616,pooja07: Missed video call
23617,pooja07: Atleast give me some reason and don't pick.annoyed
23618,"pooja07: Always annoying me like this, wtf r u doing"
23619,pooja07: Ram?
23620,pooja07: Finished playing?
23621,pooja07: crycrycrycryI'm missing you baby
23622,pooja07: This message was deleted
23623,pooja07: Missed voice call
23624,pooja07: This message was deleted
23625,pooja07: Missed voice call
23626,"pooja07: I didn't talk to you since yesterday, yesterday also we faught, I know I don't have a life other than you, it's cause I don't want trouble, I'm seriously sorry to bother you so much, I just really wanted to talk to you, but you don't even reply to any of my message, I know ur busy playing, u can spare two mins for me if you wished to, I know I bore you, and there is nothing to talk, I'm sorry, I love you, I m sorry for yesterday, I shouted without any reason, and I'm sorry for today I'm not even letting you have fun, I'm a bad girlfriend just wanted some attention,ok love you, bye."
23627,pooja07: Good morning kissheart
23628,pooja07: media
23629,"pooja07: Jakka babe, please talk to me"
23630,pooja07: Missed voice call
23631,"pooja07: Sorry da, don't be so mad at me"
23632,pooja07: Missed voice call
23633,pooja07: Missed voice call
23634,pooja07: Missed voice call
23635,pooja07: Jakka? call me and tell me you love me
23636,Ram Tej: I love u
23637,Ram Tej: I am not well
23638,"pooja07: Oh, ok take care"
23639,pooja07: I love you too boo
23640,pooja07: Fever uh?
23641,pooja07: media
23642,pooja07: Hi
23643,pooja07: Jakku beee
23644,pooja07: heartheartheart
23645,pooja07: 4 days holidaysmilesmilesmile
23646,pooja07: U can't text?
23647,"pooja07: I'm missing you Rey, atleast text something‚"
23648,Ram Tej: Wait I will texy
23649,pooja07: Jakku 
23650,"pooja07: Jakka, I've been trying since day before yesterday, please call or text, something"
23651,pooja07: Missed voice call
23652,"pooja07: Babe, atleast try texting ‚I have four days holiday. I just want to hear your voice"
23653,pooja07: Missed voice call
23654,pooja07: Ram?
23655,pooja07: Missed voice call
23656,pooja07: Missed voice call
23657,pooja07: Missed voice call
23658,pooja07: Missed voice call
23659,"pooja07: Rey go Rey, your making me hate youannoyedhow many times will I call how many times you will.tell.me.to wait da, see the number of.messages I'm sending and the number of messages your sending ur telling me you love me, what will happen if u pick the call once? Ur high? Be high, ur sick be sick, picking the call once won't kill you."
23660,Ram Tej: Hi
23661,Ram Tej: Good morning
23662,Ram Tej: Just woke up
23663,pooja07: https://youtu.be/wj6fkpCGUKE
23664,Ram Tej: Next level
23665," pooja07: Ram , I'm feeling sleepy, call me."
23666, Ram Tej: Calling
23667, Ram Tej: Setting bed
23668, pooja07: What's taking so long?!
23669, pooja07: Missed voice call
23670, pooja07: Ram?!!!I'm still waiting
23671,Ram Tej: Rahul got caught
23672,Ram Tej: He had to pay fine
23673,Ram Tej: 2 k
23674,Ram Tej: Loss
23675,Ram Tej: crycrycry
23676,Ram Tej: Booooo
23677,Ram Tej: Boooooo
23678,pooja07: Babe
23679,Ram Tej: Boooooo
23680,Ram Tej: Be bo
23681,Ram Tej: What are u doing
23682,pooja07: Trying to talk to u
23683,Ram Tej: https://play.google.com/store/apps/details?id=com.activision.callofduty.shooter
23684,pooja07: Ur not even picking
23685,pooja07: I'm fuck sleepy
23686,Ram Tej: Download this
23687,Ram Tej: I was with warden bargaining
23688,pooja07: I was complaining u
23689,pooja07: About us not calling each other too
23690,"pooja07: See, I started texting, I went off."
23691,Ram Tej: No I am here
23692,Ram Tej: Only
23693,Ram Tej: Walking to my room
23694,Ram Tej: I don't know wheather u can
23695,Ram Tej: Pick the call or mot
23696,Ram Tej: Can I call u now
23697,Ram Tej: And can u stay on the call
23698,Ram Tej: I am confused
23699,Ram Tej: Ok
23700,Ram Tej: Sorry
23701,Ram Tej: Sleep
23702,Ram Tej: Good night
23703,pooja07: I'm awake
23704,Ram Tej: I love u
23705,pooja07: See
23706,pooja07: Even if I'm awake ur goin ofd
23707,Ram Tej: media
23708,Ram Tej: My bed I made it
23709,Ram Tej: U still awake
23710,Ram Tej: Ok good night I will sleep of
23711,Ram Tej: Ok now I am sleepibg
23712,Ram Tej: Byeeee
23713,Ram Tej: I love you so much
23714,pooja07: Hi
23715,pooja07: Yea
23716,pooja07: I can't sleep
23717,"pooja07: My dad is awake, he is doing some work"
23718,pooja07: Jakku wake up
23719,pooja07: media
23720,Ram Tej: Booooooooo
23721,Ram Tej: Woke upppppppp
23722,Ram Tej: My phone was dead I hade to charg it
23723,pooja07: Jakku beeheart
23724,Ram Tej: https://youtu.be/uq3SUrhX2bk
23725,Ram Tej: https://youtu.be/EzJhTb564iA
23726,pooja07: lollol
23727, pooja07: Jakku beee
23728, pooja07: heart
23729, Ram Tej: Booooob
23730, Ram Tej: Boooooo
23731, Ram Tej: Booooo
23732, Ram Tej: Booooo
23733, Ram Tej: I was playing call of duty
23734, pooja07: lollollollol
23735, Ram Tej: Boooooooo
23736, pooja07: Boobs*
23737, Ram Tej: Ya
23738, Ram Tej: Booooooooo beeeeeeeee
23739, pooja07: media
23740, Ram Tej: What are u doing
23741, Ram Tej: Jakku be
23742, pooja07: Watching tv
23743, pooja07: Wbu
23744, Ram Tej: What are u watching I eat nicly
23745, pooja07: Watching Vijay songs
23746, pooja07: smile
23747, Ram Tej: Ooooooooooooooo
23748, pooja07: Jakku bee
23749, pooja07: What did u eat
23750, Ram Tej: Swaswan fried rise
23751, Ram Tej: Nice it was
23752, Ram Tej: Sat near fualzab
23753, pooja07: heartheart
23754, Ram Tej: And eat alone watching those videos
23755, pooja07: I love you
23756, pooja07: Oooo
23757, Ram Tej: When is your movie
23758, Ram Tej: When will u start
23759, pooja07: 11
23760, Ram Tej: What about our plan.?
23761, pooja07: 10:30
23762, pooja07: Ooooooo
23763, pooja07: Aaahaaaannnnn
23764, pooja07: Baby
23765, Ram Tej: Ooooooooo
23766, Ram Tej: Ok
23767, Ram Tej: Watch move and come
23768, Ram Tej: Ok
23769, pooja07: As soon as I come back?
23770, Ram Tej: Ok
23771, Ram Tej: I love you
23772, pooja07: Will you pick?
23773, pooja07: annoyed
23774, Ram Tej: Send me pic of what your waring for movie ok
23775, Ram Tej: Ya pakka
23776, Ram Tej: Text me how is the movie
23777, Ram Tej: And u will tell me story also after comming back
23778, pooja07: smile
23779, pooja07: Ok
23780, pooja07: Babyheartheartheartheartheartheart
23781, pooja07: media
23782, Ram Tej: Back
23783, Ram Tej: Only
23784, Ram Tej: I can imagen u
23785, Ram Tej: Lol
23786, pooja07: lol
23787, pooja07: Me ahhh
23788," pooja07: I sent snaps, it's totally private, and no screenshots"
23789, pooja07: 
23790, Ram Tej: Ok
23791, Ram Tej: Thanks
23792, pooja07: annoyedthanx????!!
23793, pooja07: THANKS???!!!!
23794, Ram Tej: Like for sending such good previewkiss
23795, Ram Tej: https://youtu.be/joB04BTZ5p0
23796,"pooja07: Hey, I'm back."
23797,Ram Tej: I am watching movie
23798,Ram Tej: Boooooooo
23799,pooja07: Oo
23800,pooja07: Which movie?
23801,Ram Tej: Joker
23802,pooja07: U too??!
23803,pooja07: How
23804,pooja07: Theatre?
23805,pooja07: ??
23806,Ram Tej: No
23807,Ram Tej: Fmovies
23808,Ram Tej: Gorrentz
23809,Ram Tej: Can't effort
23810,Ram Tej: Now
23811,Ram Tej: So half way through
23812,Ram Tej: Joker and batman are half-brothers
23813,pooja07: Hell yeah
23814,pooja07: 
23815,pooja07: Fuck I never knew until today
23816,pooja07: Missed voice call
23817, Ram Tej: Good morning
23818, Ram Tej: I had to come to class
23819, Ram Tej: So bad
23820, Ram Tej: I need holiday
23821, pooja07: lollollol
23822,Ram Tej: media
23823,Ram Tej: My class thing
23824,Ram Tej: Just ignore voice things
23825,pooja07: lol
23826,pooja07: Baby
23827,pooja07: Bavy
23828,pooja07: BABY!!!!!!
23829,pooja07: Looleee beeee
23830,pooja07: media
23831,pooja07: media
23832,Ram Tej: Pink
23833,pooja07: media
23834,Ram Tej: Naaaaa
23835,pooja07: media
23836,pooja07: media
23837,Ram Tej: This one
23838,pooja07: media
23839,pooja07: media
23840,Ram Tej: This
23841,pooja07: heartok
23842,"pooja07: Even I liked this, I'm buying it"
23843,pooja07: Jakka
23844,pooja07: More
23845,Ram Tej: Ok
23846,pooja07: media
23847,Ram Tej: This is mice
23848,Ram Tej: Nice
23849,pooja07: media
23850,pooja07: media
23851,pooja07: media
23852,Ram Tej: Naaaa
23853,pooja07: Jakku beee
23854,pooja07: media
23855,pooja07: This one
23856,pooja07: ‚
23857,pooja07: .
23858,Ram Tej: media
23859,pooja07: Ooo
23860,pooja07: Have fun
23861,pooja07: media
23862,Ram Tej: Lol
23863,Ram Tej: Just eat Rey
23864,pooja07: lollol
23865," pooja07: Hey babe, came to Asia kitchen"
23866, Ram Tej: Nice eat eT
23867, Ram Tej: I am playing pubg lite
23868, pooja07: Babe
23869, pooja07: I'm home
23870, pooja07: Missed voice call
23871, pooja07: Don't ditch me today alsoannoyed
23872," pooja07: Annoying Rey, it's like everyday I'm only begging you."
23873, Ram Tej: Call her now and wish
23874, Ram Tej: Jio Home.vcf (file attached)
23875, Ram Tej: Nos
23876, Ram Tej: Call fast
23877, Ram Tej: Rey
23878, Ram Tej: Hello
23879, pooja07: media
23880, pooja07: Jakku beee
23881, pooja07: Honey beeheartheartheart
23882, pooja07: Baybeeeelolheartheartheartheart
23883, pooja07: media
23884,pooja07: Missed voice call
23885,pooja07: Why ur blue ticking me‚
23886,Ram Tej: Boooooobooooooo
23887,Ram Tej: Bioooo
23888,Ram Tej: Good morning
23889,Ram Tej: I was brushing
23890,Ram Tej: And I forgot
23891,pooja07: 
23892,Ram Tej: Where are u
23893,Ram Tej: Good morning
23894,pooja07: whatttt
23895,pooja07: Home
23896,pooja07: Ur talking to someone?
23897,Ram Tej: No
23898,Ram Tej: I was talking to my bro
23899,Ram Tej: We are playing pubg on pc
23900,Ram Tej: media
23901,pooja07: Don't send pic and alllollol
23902,pooja07: Bubby booo
23903,pooja07: Call bee‚
23904, pooja07: Hi
23905," pooja07: I know you will blue tick me, I'm going to sleep."
23906," pooja07: As soon as u saw me u went offline, it's ok,you remember I asked you for those five mins? I know u don't wanna hear me give u any lecture, I'm not your mom to give you any lecture either,I'm your girlfriend, I feel like your my best friend also, I don't about you, it's ok if you take things wrong too, I thought I'll tell it to you on video call, but I guess I don't wanna hear."
23907," pooja07: I love you so much, that's the only reason I'm still with you no matter what, but you need to know that sometimes I have feelings too, it's just that there is something that has been bothering me for a long time."
23908," pooja07: I tried to make peace with it by accepting ,. First I used to shout and reject it and fight with you, later I thought I can adjust it's ok, now I don't think it's a problem anymore , sometimes it just bothers me that you're still smoking up frequently and not occasionally, I would have been happier if it was occasional, but when someone is coming and complaining about it, i can't see someone complain about my boyfriend that he is doing drugs, that's the last thing I want to hear, the way he said so u know and ur not doing anything about it? Well he doesn't know that I can't do anything about it , I tried and failed Miserably,I thought you would listen to me, now you have really made me happier than before cause atleast u ain't ignoring me like before."
23909," pooja07: I know it's too much to read,, but I guess I can never say this to your face cause I don't know how you will take it, although I know you from top to bottom it still haunts me thinking that you're gonna ignore me again, I'm this bad girlfriend who doesn't know how to keep her boyfriend happy, well I try a lot, sometimes I want him to listen to me, like picking up the call, not ignoring me when he knows that I'm calling, and not doing drugs so much like an addict. But I really feel bad when none if it is in my hand, cause it's your life and your wish, I used to think that we came to this understanding where not even air can separate us, but when it comes to this topic where u smoke up I don't know the entire environment changes."
23910," pooja07: I don't know how more subtly to say this,I want my boo to be the way he is, to be happy however he wants to, it doesn't mean he can take advantage of all of that right? There used to be this excited when I used to call u, on your face, u used to tell me that u smiled at my call, nowadays ur just ignoring and taking it for granted, so much has changed but I hope our love didn't change, I know u would reply with a one word text for this, I don't want your reply , I want you to reply by actions, not actions which last only for a day or a week, I want you take actions that would stay forever, I have done so much for your happiness, you have done it too, but I want you to add these suggestions too, it would make me a lot happier, I would have the feeling that yes I do mean something I'm Ram's life, that's why he is doing so much for me, I hope you take your time and read everything, this is not something I typed out of impulse, it's something I as longing to say but couldn't cause I was scared if you would just go away cause I'm restricting you, I want you to understand what im trying to tell, I hope it's clear now, I really hope you would help me out and do me this favour, for me and our love."
23911," pooja07: Even now boo, I don't want to be like this where I have to wait for your call or feel like maybe he is going to ignore me today, no, I want to feel wanted by you, I don't want to act like the others, I want to be true to our feelings, I want o be us, where we can just tell anything we want and know that at the end of the day there is this one person who will understand everything, yet here we are, u ignoring and lying to me(it has reduced a lot now, thank you) me overthinking everything, I mean it's a relationship not an onion ,I'm glad I met you, I'm glad you're gonna be with me forever, but I want to be happy when this is happening, not sad , I wanna feel that u r Happy with me too, the way you're showing, I feel sometimes like you're not although it's you taking some space, but your spaces shouldn't increase if this is love."
23912, Ram Tej: I am charging my phone
23913, Ram Tej: In some one else room reh jakku
23914, Ram Tej: Oooooooo
23915, Ram Tej: That is a long long text
23916, Ram Tej: Ok
23917, Ram Tej: I read the whole thing
23918, Ram Tej: First thank u so much kisskisskisskisskisskisskisskisskiss
23919, Ram Tej: I love u and I love h for ever
23920, Ram Tej: I miss u a lot and I will slowly stop smooking
23921, Ram Tej: Give me some time
23922, Ram Tej: I lost my phone charger so I put my phone to charg
23923, Ram Tej: And I was playing Apex and I relized that I did not turn the switch on and the phone died and I turned the phone on as soon as it reached 20 I opened
23924, Ram Tej: And I saw this msgs
23925, Ram Tej: And I started reading and
23926, Ram Tej: I taught u will tell me I love u
23927, Ram Tej: But u gave me a good good things I need to note and work on
23928, Ram Tej: And I am starting to focus
23929, Ram Tej: Today only I started my trading again and I am picking the call I did not go out this week end at all
23930, Ram Tej: All 3 of your holidays I am here only
23931, Ram Tej: I like the last 3 days where good talking to u and u beeing on thw call made me sleep super fast
23932, Ram Tej: I love u
23933, Ram Tej: That shows u are me drug
23934, Ram Tej: U can put me in peace
23935, Ram Tej: I love u booooo
23936, Ram Tej: I love u so much
23937, Ram Tej: kisskisskisskisskiss
23938, Ram Tej: I will never leave u
23939, Ram Tej: Read reas
23940, Ram Tej: I am here only booooooooo
23941, pooja07: lol
23942, pooja07: I love you so much
23943, Ram Tej: Oey
23944, Ram Tej: Why laughing
23945," pooja07: I wasn't complaining babe, I just wanted you to know."
23946, Ram Tej: Ya
23947, pooja07: I'm sorry if I annoyed you
23948, Ram Tej: That's why I said I will do it
23949," pooja07: heartI don't have to say thank you, but thank you"
23950, Ram Tej: I love u my responsibilities
23951, pooja07: Huh?
23952, Ram Tej: Beeing theirs with u all the 3 days
23953, pooja07: Yay
23954, pooja07: I'm going to sleep baby
23955," pooja07: I have to wake up early, good nightheartI love you."
23956, pooja07: Missed voice call
23957, Ram Tej: Boooo
23958, Ram Tej: I am watching narshima Reddy movie
23959,pooja07: Jakku bee good morningheart
23960, Ram Tej: Good morning boooooooooo
23961, Ram Tej: I love you
23962, Ram Tej: kisskisskisskisskisskiss
23963, pooja07: Meow0071
23964, pooja07: Syspass
23965, Ram Tej: What is this
23966, Ram Tej: Boooooo
23967, Ram Tej: Oey
23968, Ram Tej: What is this
23969, Ram Tej: So many meowpasswords
23970, pooja07: Lol
23971, pooja07: Yeah
23972, pooja07: My system password
23973, Ram Tej: U have your own system
23974, Ram Tej: Nice
23975, pooja07: Lol no
23976, pooja07: For now....
23977,Ram Tej: Jakku be
23978,Ram Tej: Jakku
23979,Ram Tej: Be
23980,Ram Tej: U need love
23981,Ram Tej: Take my love
23982,Ram Tej: Hug me
23983,Ram Tej: Boooooo
23984,Ram Tej: Hug mmeeeeee
23985,pooja07: Yay
23986,pooja07: I need love
23987,pooja07: More love
23988,pooja07: Gimmeee
23989,pooja07: Gimmeee
23990,pooja07: heartheartheart
23991,pooja07: media
